epoch, 40, th_nms, 0.2, th_p, 0.6
,precision,recall,F1_score
C,0.8135593220338984,0.7152317880794702,0.7612334801762114
WP,1.0,0.7142857142857143,0.8333333333333333
PC,0.8038277511961722,0.9032258064516129,0.850632911392405
CP,0.8920032976092334,0.9232081911262798,0.9073375262054507
IA,0.9602649006622517,0.9441860465116279,0.9521575984990619
E,0.8928571428571429,1.0,0.9433962264150945
T,0.9974874371859297,0.9851116625310173,0.9912609238451935
overall,0.9081425673717763,0.8990246701090074,0.9035606169814041
epoch, 40, th_nms, 0.2, th_p, 0.8
,precision,recall,F1_score
C,0.8116760828625236,0.7135761589403974,0.7594713656387666
WP,1.0,0.7142857142857143,0.8333333333333333
PC,0.7607655502392344,0.8548387096774194,0.8050632911392406
CP,0.8680956306677658,0.8984641638225256,0.8830188679245284
IA,0.9337748344370861,0.9181395348837209,0.9258911819887429
E,0.75,0.84,0.7924528301886793
T,0.9773869346733668,0.9652605459057072,0.9712858926342072
overall,0.8852506519849319,0.8763625932300632,0.8807842006631109
epoch, 40, th_nms, 0.2, th_p, 1
,precision,recall,F1_score
C,0.5863377609108159,0.5282051282051282,0.5557553956834532
WP,0.7333333333333333,0.5238095238095238,0.611111111111111
PC,0.5119617224880383,0.5752688172043011,0.5417721518987342
CP,0.7436108821104699,0.7696245733788396,0.7563941299790357
IA,0.8145695364238411,0.8009302325581396,0.8076923076923078
E,0.42857142857142855,0.48,0.4528301886792452
T,0.9170854271356784,0.9057071960297767,0.9113607990012486
overall,0.7447055410501886,0.7404095760023075,0.7425513450969049
